# SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
373167   118      0.0000000007   1.00000000    1.00000000   0.28994147
373167   123      0.0001307162   1.00000000    1.00000000   0.08584262
373167   125      0.0004573641   1.00000000    1.00000000   0.07919095
373167   126      0.0000000007   1.00000000    1.00000000   0.27834359
373167   127      0.0001528476   1.00000000    1.00000000   0.10918102
373167   133      0.0000001240   1.00000000    1.00000000   0.11590302
373167   134      0.0000000017   1.00000000    1.00000000   0.17379491
373167   135      0.0002037690   1.00000000    1.00000000   0.07687606
373167   137      0.0000672195   1.00000000    1.00000000   0.10421650
373167   138      0.0000000006   1.00000000    1.00000000   0.30202081
373167   146      0.0000000010   1.00000000    1.00000000   0.95114809
373167   148      0.0000000004   1.00000000    1.00000000   0.61947281
373167   157      0.0003358070   1.00000000    1.00000000   0.08458917
373167   158      0.0000000002   1.00000000    1.00000000   0.15367898
373167   168      0.0000000016   1.00000000    1.00000000   0.43548837
373168    111      0.0000000875   1.00000000    1.00000000   0.12284254
373168    112      0.0000460438   1.00000000    1.00000000   0.08555873
373168    113      0.0000001394   1.00000000    1.00000000   0.12763936
373168    115      0.0000729953   1.00000000    1.00000000   0.08033081
373168    117      0.0000234451   1.00000000    1.00000000   0.11546766
373168    118      0.0000000004   1.00000000    1.00000000   0.32098647
373168    123      0.0000370400   1.00000000    1.00000000   0.08559703
373168    125      0.0001284170   1.00000000    1.00000000   0.07776352
373168    126      0.0000000006   1.00000000    1.00000000   0.32609269
373168    127      0.0000413413   1.00000000    1.00000000   0.11748606
373168    133      0.0000000559   1.00000000    1.00000000   0.12477397
373168    134      0.0000000011   1.00000000    1.00000000   0.19251497
373168    135      0.0000586009   1.00000000    1.00000000   0.07815473
373168    137      0.0000187582   1.00000000    1.00000000   0.11797319
373168    138      0.0000000004   1.00000000    1.00000000   0.33443308
373168    146      0.0000000010   1.00000000    1.00000000   0.94949850
373168    148      0.0000000004   1.00000000    1.00000000   0.61911014
373168    157      0.0000960345   1.00000000    1.00000000   0.09511602
373168    158      0.0000000001   1.00000000    1.00000000   0.17782976
373168    168      0.0000000016   1.00000000    1.00000000   0.43407814
373169    111      0.0000000405   1.00000000    1.00000000   0.13144410
373169    112      0.0000138985   1.00000000    1.00000000   0.08908945
373169    113      0.0000000628   1.00000000    1.00000000   0.13257368
373169    115      0.0000216177   1.00000000    1.00000000   0.07597744
373169    117      0.0000069620   1.00000000    1.00000000   0.12911311
373169    118      0.0000000003   1.00000000    1.00000000   0.35308357
373169    123      0.0000117158   1.00000000    1.00000000   0.08982418
373169    125      0.0000389724   1.00000000    1.00000000   0.07725703
373169    126      0.0000000004   1.00000000    1.00000000   0.37994438
373169    127      0.0000125437   1.00000000    1.00000000   0.13368596
373169    133      0.0000000246   1.00000000    1.00000000   0.13524524
373169    134      0.0000000007   1.00000000    1.00000000   0.21399462
373169    135      0.0000181822   1.00000000    1.00000000   0.08143815
373169    137      0.0000058456   1.00000000    1.00000000   0.13211652
373169    138      0.0000000002   1.00000000    1.00000000   0.36944336
373169    146      0.0000000010   1.00000000    1.00000000   0.94987205
373169    148      0.0000000004   1.00000000    1.00000000   0.61870440
373169    157      0.0000303016   1.00000000    1.00000000   0.10475885
373169    158      0.0000000001   1.00000000    1.00000000   0.19227894
373169    168      0.0000000016   1.00000000    1.00000000   0.42799415
373170    111      0.0000000183   1.00000000    1.00000000   0.14050576
373170    112      0.0000045095   1.00000000    1.00000000   0.09699840
373170    113      0.0000000280   1.00000000    1.00000000   0.14341359
373170    115      0.0000068377   1.00000000    1.00000000   0.09606926
373170    117      0.0000022295   1.00000000    1.00000000   0.14159217
373170    118      0.0000000002   1.00000000    1.00000000   0.38564637
373170    123      0.0000038998   1.00000000    1.00000000   0.09681863
373170    125      0.0000123752   1.00000000    1.00000000   0.10182652
373170    126      0.0000000004   1.00000000    1.00000000   0.44460873
373170    127      0.0000040761   1.00000000    1.00000000   0.14445712
373170    133      0.0000000108   1.00000000    1.00000000   0.14540132
373170    134      0.0000000004   1.00000000    1.00000000   0.23651903
373170    135      0.0000058591   1.00000000    1.00000000   0.10515964
373170    137      0.0000019292   1.00000000    1.00000000   0.14235816
373170    138      0.0000000001   1.00000000    1.00000000   0.40488252
373170    146      0.0000000010   1.00000000    1.00000000   0.95046685
373170    148      0.0000000004   1.00000000    1.00000000   0.61739460
373170    157      0.0000101841   1.00000000    1.00000000   0.11079055
373170    158      0.0000000001   1.00000000    1.00000000   0.21667490
373170    168      0.0000000017   1.00000000    1.00000000   0.43283590
373171    111      0.0000000082   1.00000000    1.00000000   0.15261233
373171    112      0.0000015153   1.00000000    1.00000000   0.10343270
373171    113      0.0000000122   1.00000000    1.00000000   0.15058040
373171    115      0.0000021490   1.00000000    1.00000000   0.15308617
373171    117      0.0000007514   1.00000000    1.00000000   0.16405692
